Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
364,9/5/05,Necessary,American,2072/09/10,32.0,Homemaker,2400.0,22/6/90,Secondary School,Employer,14.0,3.0,Virgo
365,9/5/06,Necessary,American,1975/08/16,30.0,Dentist,5000.0,17/2/95,Professional,Employer,11.0,1.0,Leo
366,9/5/14,Necessary,American,1975/06/03,39.0,Homemaker,9000.0,2/3/02,Professional,Employer,10.0,2.0,Gemini
367,9/5/14,Necessary,American,1976/06/04,38.0,Homemaker,3200.0,11/2/08,Primary School,Employer,4.0,2.0,Gemini
368,9/6/06,Necessary,American,2069/02/19,37.0,Homemaker,6000.0,23/5/92,Professional,Employer,13.0,2.0,Pisces
369,9/6/06,Necessary,American,2068/11/28,37.0,Dentist,12000.0,18/12/98,Professional,Employer,8.0,2.0,Sagittarius
370,9/6/06,Necessary,American,2069/10/06,36.0,Homemaker,2400.0,23/5/97,Primary School,Employer,9.0,2.0,Libra
371,9/6/06,Necessary,American,2052/08/17,53.0,Homemaker,8000.0,23/8/80,Professional,Employer,26.0,2.0,Leo
372,9/6/09,Necessary,American,1976/12/07,32.0,Homemaker,3000.0,28/11/01,High School,Employer,4.0,2.0,Sagittarius
373,9/6/09,Necessary,American,1973/10/19,35.0,Homemaker,3600.0,10/6/90,High School,Employer,19.0,1.0,Libra
374,9/7/03,Voluntary,American,2070/08/29,32.0,Homemaker,2500.0,21/12/95,High School,Employer,7.0,1.0,Virgo
375,9/7/03,Voluntary,American,2071/01/12,31.0,Teacher,2000.0,22/6/93,High School,Employer,10.0,2.0,Capricorn
376,9/7/07,Necessary,American,2070/10/25,36.0,Homemaker,3200.0,30/6/90,Secondary School,Employer,17.0,3.0,Scorpio
377,9/7/08,Necessary,American,1974/10/13,33.0,Homemaker,6000.0,15/12/00,Professional,Employer,8.0,1.0,Libra
378,9/7/08,Necessary,American,2067/01/03,41.0,Cashier,10000.0,8/11/99,Professional,Employer,7.0,1.0,Capricorn
379,9/7/08,Necessary,American,2072/01/03,36.0,Homemaker,15000.0,30/3/99,Professional,Employer,9.0,1.0,Capricorn
380,9/9/04,Voluntary,American,2062/04/10,41.0,Farmer,5000.0,20/4/89,Professional,Employer,14.0,3.0,Aries
381,9/9/08,Necessary,American,2071/07/11,36.0,Merchant,5100.0,20/12/99,Professional,Employer,5.0,2.0,Cancer
382,9/9/11,Necessary,American,2072/01/12,38.0,Dentist,8000.0,7/3/97,Professional,Employer,14.0,1.0,Capricorn
383,9/10/02,Voluntary,American,2056/05/14,46.0,Homemaker,6000.0,15/12/79,Professional,Employer,21.0,2.0,Taurus
384,9/10/06,Necessary,American,2059/04/15,47.0,Homemaker,75000.0,31/5/85,Professional,Employer,21.0,1.0,Aries
385,9/10/08,Necessary,American,1976/09/25,32.0,Businesswoman,5000.0,5/11/05,Professional,Employer,2.0,1.0,Libra
386,9/10/08,Necessary,American,2070/04/02,38.0,Homemaker,1600.0,3/10/88,Secondary School,Employer,6.0,3.0,Aries
387,9/10/08,Necessary,American,1973/10/17,34.0,Homemaker,2500.0,22/12/95,Professional,Employer,12.0,1.0,Libra
388,9/10/09,Necessary,American,1974/02/27,35.0,Homemaker,3000.0,3/12/96,Primary School,Employer,13.0,2.0,Pisces
389,9/10/09,Necessary,American,2067/10/21,41.0,Homemaker,8000.0,10/8/96,Professional,Employer,10.0,1.0,Libra
390,9/10/09,Necessary,American,1981/01/24,28.0,Homemaker,4500.0,10/4/97,Professional,Employer,2.0,1.0,Aquarius
391,9/10/09,Necessary,American,2069/04/08,40.0,Homemaker,9000.0,7/11/87,Secondary School,Employer,14.0,2.0,Aries
392,9/11/00,Voluntary,American,2064/04/25,36.0,Homemaker,4000.0,28/9/89,Professional,Employer,11.0,1.0,Taurus
